Customer ID,Recency,Frequency,Monetary,Cluster_KMeans
AA-10315,8.0,19,13747.413,1
AA-10375,6.0,23,5884.195,1
AA-10480,125.0,20,17695.58978,1
AA-10645,37.0,36,15343.8907,1
AA-315,2.0,7,2243.256,2
AA-375,253.0,8,654.492,2
AA-480,314.0,5,2063.493,2
AA-645,439.0,11,1968.324,0
AB-10015,16.0,32,20037.4975,1
AB-10060,42.0,32,18416.5504,1
AB-10105,32.0,33,22966.78,1
AB-10150,35.0,24,13057.294600000001,1
AB-10165,13.0,29,11649.265,1
AB-10255,5.0,31,10786.7164,1
AB-105,43.0,7,2156.4,2
AB-10600,314.0,22,13318.6631,1
AB-15,412.0,5,4607.13,0
AB-150,398.0,4,3143.88,0
AB-165,16.0,6,1399.776,2
AB-255,43.0,8,4679.502,2
AB-60,35.0,9,1770.2279999999998,2
AB-600,7.0,5,5408.55,2
AC-10420,6.0,24,10607.6947,1
AC-10450,5.0,19,16126.3904,1
AC-10615,6.0,29,12729.72448,1
AC-10660,2.0,21,6255.61908,1
AC-420,13.0,9,1689.675,2
AC-450,336.0,7,1026.597,2
AC-615,92.0,7,2298.432,2
AC-660,376.0,4,2676.09,0
AD-10180,47.0,27,17858.5048,1
AD-180,5.0,3,681.288,2
AF-10870,6.0,36,26487.2585,1
AF-10885,76.0,35,19711.16728,1
AF-870,5.0,9,1700.082,2
AF-885,167.0,2,354.99,2
AG-10270,40.0,25,10637.40422,1
AG-10300,2.0,24,13013.8762,1
AG-10330,8.0,29,14534.50618,1
AG-10390,189.0,19,8453.0096,1
AG-10495,78.0,29,15380.31006,1
AG-10525,12.0,20,8468.963,1
AG-10675,47.0,21,13023.836000000001,1
AG-10765,77.0,27,9824.7795,1
AG-10900,96.0,29,18174.17176,1
AG-270,13.0,8,2779.806,2
AG-300,98.0,6,1703.31,2
AG-330,2.0,7,532.545,2
AG-495,48.0,11,1003.9920000000001,2
AG-525,15.0,7,2870.676,2
AG-675,293.0,10,2368.131,2
AG-765,160.0,8,1859.5320000000002,2
AG-900,196.0,4,1699.47,2
AH-10030,12.0,27,14439.49784,1
AH-10075,2.0,34,18109.86142,1
AH-10120,135.0,22,9927.83588,1
AH-10195,92.0,25,12628.19178,1
AH-10210,6.0,34,20365.74018,1
AH-10465,70.0,20,8547.83068,1
AH-10585,187.0,22,9125.8911,1
AH-10690,97.0,31,16276.16112,1
AH-120,870.0,4,1478.0819999999999,0
AH-195,278.0,9,2651.565,2
AH-210,457.0,4,3277.11,0
AH-30,468.0,7,6320.0160000000005,0
AH-465,798.0,4,650.826,0
AH-585,75.0,9,2232.222,2
AH-75,37.0,8,3608.34,2
AI-10855,13.0,22,8358.6023,1
AI-855,560.0,4,919.974,0
AJ-10780,48.0,25,15186.0672,1
AJ-10795,62.0,22,8887.077,1
AJ-10945,79.0,29,11087.024,1
AJ-10960,48.0,17,8633.59348,1
AJ-780,1.0,12,2570.994,2
AJ-795,36.0,10,3395.58,2
AJ-945,104.0,7,4860.924,2
AJ-960,411.0,10,4629.156,0
AM-10360,15.0,33,16730.3296,1
AM-10705,72.0,30,24218.5645,1
AM-360,190.0,6,2035.827,2
AM-705,136.0,6,1303.77,2
AO-10810,36.0,27,14537.7966,1
AO-810,7.0,5,485.007,2
AP-10720,41.0,20,15362.0613,1
AP-10915,76.0,32,15877.8603,1
AP-720,37.0,6,999.699,2
AP-915,92.0,5,2668.08,2
AR-10345,68.0,26,14165.796199999999,1
AR-10405,125.0,22,8956.82078,1
AR-10510,14.0,29,14277.88536,1
AR-10540,6.0,15,7983.9505,2
AR-10570,2.0,18,9445.64932,1
AR-10825,79.0,38,15311.035600000001,1
AR-345,223.0,9,2301.072,2
AR-405,222.0,6,571.11,2
AR-510,104.0,10,2638.638,2
AR-540,221.0,8,561.6,2
AR-570,70.0,9,2044.278,2
AR-825,33.0,7,2028.9119999999998,2
AS-10045,76.0,28,12596.2944,1
AS-10090,15.0,32,15009.47272,1
AS-10135,41.0,19,7307.2442,1
AS-10225,12.0,28,21366.8987,1
AS-10240,12.0,31,9006.66636,1
AS-10285,18.0,30,16179.86246,1
AS-10630,35.0,19,9815.9395,1
AS-135,92.0,5,3978.81,2
AS-225,2.0,7,469.515,2
AS-240,498.0,5,1686.51,0
AS-285,99.0,13,4938.4619999999995,2
AS-45,776.0,3,1616.334,0
AS-630,33.0,11,2000.01,2
AT-10435,12.0,24,13654.3055,1
AT-10735,2.0,29,12984.1049,1
AT-435,257.0,12,1287.993,2
AT-735,69.0,5,403.65000000000003,2
AW-10840,16.0,25,13200.25552,1
AW-10930,35.0,22,10230.95856,1
AW-840,97.0,7,1947.0,2
AW-930,37.0,6,782.0550000000001,2
AY-10555,14.0,16,5446.61044,2
AY-555,35.0,11,3096.42,2
AZ-10750,70.0,18,9639.801,1
AZ-750,128.0,10,2231.277,2
BB-10990,14.0,30,9064.5327,1
BB-11545,33.0,26,15797.57188,1
BB-1545,153.0,5,207.228,2
BB-990,78.0,7,822.288,2
BC-11125,33.0,28,14789.447,1
BC-1125,131.0,6,396.042,2
BD-11320,5.0,32,13390.267,1
BD-11500,35.0,27,13089.8495,1
BD-11560,7.0,19,9356.77974,1
BD-11605,97.0,19,9202.66214,1
BD-11620,69.0,25,7849.0000199999995,1
BD-11635,9.0,25,11230.6983,1
BD-11725,4.0,30,10877.827,1
BD-11770,35.0,26,10168.32526,1
BD-1320,5.0,6,1885.05,2
BD-1500,398.0,3,52.047,0
BD-1560,187.0,5,1564.02,2
BD-1605,275.0,5,689.64,2
BD-1620,216.0,11,2919.597,2
BD-1635,398.0,9,5689.263,0
BD-1725,100.0,13,5078.400000000001,2
BD-1770,919.0,5,3405.066,0
BE-11335,35.0,37,27158.0184,1
BE-11410,98.0,30,16552.06996,1
BE-11455,3.0,27,17643.5253,1
BE-1335,649.0,5,1321.1490000000001,0
BE-1410,64.0,7,1859.859,2
BF-1005,734.0,2,732.033,0
BF-1020,96.0,7,3006.996,2
BF-1080,673.0,6,3808.17,0
BF-10975,35.0,22,8104.7792,1
BF-11005,8.0,25,23347.83866,1
BF-11020,15.0,24,10201.2813,1
BF-11080,72.0,21,10134.5617,1
BF-11170,16.0,31,22314.84044,1
BF-11215,65.0,27,12968.9385,1
BF-11275,6.0,23,9578.59864,1
BF-1170,193.0,6,904.9200000000001,2
BF-1215,405.0,5,398.91900000000004,0
BF-1275,128.0,7,1009.9739999999999,2
BF-975,286.0,8,1730.232,2
BG-11035,135.0,33,19899.1474,1
BG-11695,9.0,19,10723.32038,1
BG-11740,6.0,24,14689.342499999999,1
BG-1695,44.0,5,488.84999999999997,2
BG-1740,16.0,4,692.454,2
BH-11710,65.0,31,23537.335,1
BH-1710,93.0,10,4583.286,2
BK-11260,47.0,27,13294.68736,1
BK-1260,40.0,6,291.564,2
BM-11140,8.0,29,25312.2927,1
BM-1140,13.0,6,1857.69,2
BM-11575,34.0,25,10351.33308,1
BM-11650,33.0,24,14920.99608,1
BM-11785,2.0,36,18446.8529,1
BM-1575,40.0,9,1703.982,2
BM-1650,855.0,8,2537.1059999999998,0
BM-1785,48.0,9,2244.342,2
BN-11470,11.0,29,23378.10388,1
BN-11515,9.0,23,10272.22552,1
BN-1470,223.0,7,2823.852,2
BN-1515,99.0,8,2606.8019999999997,2
BO-11350,137.0,20,7476.2546999999995,1
BO-11425,5.0,21,12356.58552,1
BO-1350,493.0,6,616.236,0
BO-1425,1.0,8,2671.257,2
BP-1050,11.0,9,4981.542,2
BP-1095,11.0,6,1759.668,2
BP-11050,5.0,21,5403.78676,1
BP-11095,2.0,32,8327.8696,1
BP-11155,32.0,24,13696.143460000001,1
BP-11185,1.0,28,15376.031719999999,1
BP-11230,39.0,23,12573.6136,1
BP-11290,12.0,29,12448.89978,1
BP-1155,261.0,6,1110.78,2
BP-1185,4.0,10,1430.616,2
BP-1230,748.0,8,6134.988,0
BP-1290,369.0,4,383.34000000000003,0
BS-11365,0.0,26,22551.02596,1
BS-11380,44.0,23,18305.9783,1
BS-11590,35.0,23,11358.58602,1
BS-11665,36.0,24,17468.881,1
BS-11755,1.0,29,17557.4595,1
BS-11800,9.0,21,10887.2118,1
BS-1365,37.0,5,957.63,2
BS-1380,131.0,5,469.458,2
BS-1590,617.0,5,819.4499999999999,0
BS-1665,562.0,7,5101.907999999999,0
BS-1755,551.0,5,1679.76,0
BS-1800,11.0,9,6364.854,2
BT-11305,93.0,24,10321.82,1
BT-11395,97.0,24,11347.529,1
BT-11440,317.0,21,8263.9755,1
BT-11485,78.0,29,8878.05054,1
BT-11530,33.0,25,13808.318,1
BT-11680,18.0,22,14087.7631,1
BT-1305,31.0,10,1305.96,2
BT-1395,33.0,4,448.848,2
BT-1440,93.0,10,2132.565,2
BT-1485,97.0,9,2803.974,2
BT-1530,352.0,7,1535.781,2
BT-1680,1105.0,4,807.36,0
BV-11245,44.0,22,20681.678,1
BV-1245,128.0,3,684.264,2
BW-1065,187.0,5,9027.48,2
BW-11065,406.0,18,8409.0559,0
BW-1110,184.0,10,1696.83,2
BW-11110,157.0,35,30613.6165,1
BW-11200,40.0,29,11862.36908,1
BW-1200,133.0,4,3105.816,2
CA-11965,18.0,26,21110.5214,1
CA-12055,13.0,22,10691.028,1
CA-12265,34.0,31,18472.6689,1
CA-12310,13.0,21,7166.23086,1
CA-12775,93.0,26,18350.464,1
CA-1965,127.0,8,2883.141,2
CA-2055,258.0,3,1601.73,2
CA-2265,105.0,7,3364.638,2
CA-2310,336.0,5,636.0600000000001,2
CA-2775,309.0,4,1485.897,2
CB-12025,9.0,25,11685.3186,1
CB-12415,36.0,23,12705.54736,1
CB-12535,42.0,27,18108.67284,1
CB-2025,163.0,5,1840.8899999999999,2
CB-2415,1406.0,4,1232.568,0
CB-2535,7.0,2,147.12,2
CC-12100,124.0,25,11500.12324,1
CC-12145,106.0,24,12190.6666,1
CC-12220,44.0,32,7308.7328,1
CC-12370,43.0,30,28229.8514,1
CC-12430,0.0,29,13997.592560000001,1
CC-12475,16.0,30,17159.80046,1
CC-12550,193.0,25,7908.65034,1
CC-12610,16.0,29,16822.64,1
CC-12670,16.0,28,9969.0279,1
CC-12685,154.0,20,12798.5442,1
CC-2145,504.0,6,1158.18,0
CC-2220,134.0,12,4174.182,2
CC-2370,6.0,9,6957.225,2
CC-2430,471.0,2,1041.57,0
CC-2475,345.0,7,3709.881,2
CC-2550,1218.0,5,1433.3999999999999,0
CC-2610,344.0,3,782.3879999999999,2
CC-2670,261.0,6,1527.5819999999999,2
CC-2685,131.0,5,4019.4120000000003,2
CD-11920,2.0,27,18296.7474,1
CD-11980,1.0,23,11848.16246,1
CD-12280,41.0,24,16779.54838,1
CD-12790,76.0,25,13468.1145,1
CD-1920,314.0,4,1821.219,2
CD-1980,6.0,7,1380.228,2
CD-2280,12.0,7,1205.04,2
CD-2790,131.0,7,1030.788,2
CG-12040,38.0,19,3596.268,2
CG-12520,96.0,18,13545.47002,1
CG-2040,378.0,5,518.94,0
CG-2520,215.0,7,1116.204,2
CH-12070,131.0,21,11122.55656,1
CH-2070,306.0,8,4545.6179999999995,2
CJ-11875,13.0,23,12538.83296,1
CJ-12010,33.0,26,19356.0046,1
CJ-1875,32.0,6,1431.432,2
