Product Name,OrderCount,TotalQuantity,TotalSales,TotalProfit,AvgPrice,Cluster_DBSCAN
"""While you Were Out"" Message Book, One Form per Page",3,8,25.228,10.388,3.2153333333333336,0
"#10 Gummed Flap White Envelopes, 100/Box",4,11,41.3,16.7678,3.717,0
#10 Self-Seal White Envelopes,4,10,108.68200000000002,52.123,10.5355,0
"#10 White Business Envelopes,4 1/8 x 9 1/2",7,32,488.904,223.14079999999998,14.774571428571429,0
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",10,37,286.672,115.28059999999999,8.0408,0
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",8,21,146.688,64.86359999999999,7.067,0
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",2,13,176.288,63.747,14.166,0
#6 3/4 Gummed Flap White Envelopes,4,9,71.28,24.947999999999997,7.92,0
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",6,14,2706.08,578.6848,194.28266666666664,0
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",2,7,49.980000000000004,22.7115,6.615,0
12 Colored Short Pencils,3,8,18.2,3.016,2.2533333333333334,0
12-1/2 Diameter Round Wall Clock,8,36,551.448,91.1088,14.4855,0
14-7/8 x 11 Blue Bar Computer Printout Paper,4,10,422.752,172.94400000000002,43.236000000000004,0
2300 Heavy-Duty Transfer File Systems by Perma,4,16,344.724,20.9832,22.482,0
"24 Capacity Maxi Data Binder Racks, Pearl",4,19,3537.24,536.9025,189.495,0
24-Hour Round Wall Clock,6,27,487.512,180.0198,18.648,0
3.6 Cubic Foot Counter Height Office Refrigerator,5,18,2946.2,-872.0752,141.41760000000002,0
36X48 HARDFLOOR CHAIRMAT,6,21,369.248,-40.4914,16.084666666666667,0
"3D Systems Cube Printer, 2nd Generation, Magenta",2,11,14299.89,3717.9714000000004,1299.99,1
"3D Systems Cube Printer, 2nd Generation, White",2,3,2339.982,-467.9964,844.9935,0
3M Hangers With Command Adhesive,8,33,108.03999999999999,36.001000000000005,3.145,0
3M Office Air Cleaner,2,10,259.8,90.93,25.98,0
3M Organizer Strips,7,26,83.16,10.151999999999997,3.317142857142857,0
3M Polarizing Light Filter Sleeves,4,14,216.34,75.346,14.92,0
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",4,16,2191.68,569.8368,136.98,0
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,4,14,303.36,-20.476799999999997,28.44,0
4009 Highlighters,1,6,8.04,2.7336,1.3399999999999999,0
4009 Highlighters by Sanford,8,44,171.14,53.8096,3.7809999999999997,0
50 Colored Long Pencils,5,14,138.176,32.9184,9.7536,0
"6"" Cubicle Wall Clock, Black",4,19,124.586,26.211599999999997,6.4719999999999995,0
9-3/4 Diameter Round Wall Clock,8,34,455.07,183.1312,13.1005,0
"ACCOHIDE 3-Ring Binder, Blue, 1""",13,44,147.028,50.7164,3.4628461538461535,0
ACCOHIDE Binder by Acco,4,21,65.254,19.287100000000002,3.2007499999999998,0
APC 7 Outlet Network SurgeArrest Surge Protector,8,20,1207.2,80.47999999999998,62.372,0
ARKON Windshield Dashboard Air Vent Car Mount Holder,4,14,216.95999999999998,-15.594000000000001,15.254999999999999,0
AT&T 1070 Corded Phone,3,12,1070.3039999999999,133.78799999999998,89.192,0
AT&T 1080 Corded phone,7,18,1945.258,145.2094,109.592,0
AT&T 1080 Phone,3,13,1589.084,271.2402,118.72466666666666,0
AT&T 17929 Lendline Telephone,10,35,1339.104,167.388,38.906400000000005,0
AT&T 841000 Phone,7,28,1614.6,165.6,57.17142857142857,0
AT&T CL2909,3,8,755.9399999999999,50.395999999999994,92.39266666666667,0
AT&T CL82213,5,17,481.234,131.3247,27.830399999999997,0
AT&T CL83451 4-Handset Telephone,4,10,1936.306,473.777,185.39100000000002,0
AT&T EL51110 DECT,1,3,377.97,109.6113,125.99000000000001,0
AT&T SB67148 SynJ,3,8,475.128,89.7464,57.19133333333334,0
AT&T TR1909W,4,15,1738.662,340.173,113.39099999999999,0
Aastra 57i VoIP phone,7,26,3684.708,575.3316,138.52285714285716,0
Aastra 6757i CT Wireless VoIP phone,6,16,2929.984,482.5856,179.53333333333333,0
Acco 3-Hole Punch,9,36,137.53199999999998,55.538399999999996,3.3579999999999997,0
"Acco 3-Hole Punch, Clear",37,109,2543.3869999999997,29.086999999999993,23.344216216216218,0
"Acco 3-Hole Punch, Durable",41,142,3472.7192,431.11920000000003,25.02093170731707,0
"Acco 3-Hole Punch, Economy",44,160,3968.2096,344.56960000000004,25.392072727272726,0
"Acco 3-Hole Punch, Recycled",31,112,2843.8856,212.59560000000002,24.82317419354839,0
Acco 6 Outlet Guardian Basic Surge Suppressor,2,7,38.272,-3.6608,4.992,0
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,6,31,289.456,-113.76719999999999,10.991999999999999,0
Acco 6 Outlet Guardian Premium Surge Suppressor,8,35,432.432,60.424,12.194,0
Acco 6 Outlet Guardian Standard Surge Suppressor,5,15,149.916,22.971,9.672,0
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",7,31,3039.5,401.214,86.84285714285714,0
"Acco Banker's Clasps, 5 3/4""-Long",5,15,40.896,18.0,2.6496,0
"Acco Binder Covers, Clear",42,169,1691.1774,375.2874,10.15097142857143,0
"Acco Binder Covers, Durable",31,121,1488.422,342.022,12.109374193548387,0
"Acco Binder Covers, Economy",41,145,1650.4368,364.8168,11.13140487804878,0
"Acco Binder Covers, Recycled",48,176,2036.268,410.348,11.533,0
"Acco Binder, Clear",45,130,1634.9077,422.0677,12.334086666666668,0
"Acco Binder, Durable",41,137,1863.69,525.21,14.145731707317074,0
"Acco Binder, Economy",45,162,2017.374,353.394,13.00318888888889,0
"Acco Binder, Recycled",34,114,1406.757,-5.283,12.342614705882355,0
"Acco Binding Machine, Clear",41,144,5871.0455,512.8855,41.278390243902436,0
"Acco Binding Machine, Durable",34,94,4377.241,1235.821,46.506058823529415,0
"Acco Binding Machine, Economy",34,110,4429.6733,229.7933,38.33753529411765,0
